里名,國民黨代號,國民黨得票數,民進黨代號,民進黨得票數,親民黨代號,親民黨得票數,
臺北市大同區隆和里,1,455,2,1190,3,164,
臺北市大同區蓬萊里,1,770,2,1813,3,304,
臺北市大同區國順里,1,396,2,1192,3,214,
臺北市大同區國慶里,1,702,2,1698,3,247,
臺北市大同區揚雅里,1,513,2,1433,3,225,
臺北市大同區斯文里,1,792,2,2047,3,314,
臺北市大同區鄰江里,1,1023,2,2638,3,353,
臺北市大同區至聖里,1,1375,2,2985,3,476,
臺北市大同區老師里,1,839,2,2402,3,346,
臺北市大同區重慶里,1,1194,2,2343,3,397,
臺北市大同區保安里,1,622,2,1661,3,244,
臺北市萬華區福星里,1,1191,2,1530,3,314,
臺北市萬華區萬壽里,1,698,2,941,3,195,
臺北市萬華區西門里,1,769,2,1043,3,257,
臺北市萬華區新起里,1,1238,2,2148,3,408,
臺北市萬華區菜園里,1,1121,2,2126,3,371,
臺北市萬華區青山里,1,1035,2,2001,3,356,
臺北市萬華區富民里,1,837,2,1890,3,265,
臺北市萬華區福音里,1,636,2,1271,3,219,
臺北市萬華區仁德里,1,997,2,1638,3,268,
臺北市萬華區富福里,1,879,2,1846,3,245,
臺北市萬華區頂碩里,1,1220,2,2874,3,416,
臺北市萬華區雙園里,1,772,2,1690,3,287,
臺北市萬華區新忠里,1,1313,2,578,3,220,
臺北市萬華區新和里,1,3007,2,1631,3,582,
臺北市萬華區糖?里,1,1017,2,2018,3,309,
臺北市萬華區和平里,1,1069,2,2725,3,417,
臺北市萬華區綠堤里,1,848,2,1374,3,287,
臺北市萬華區華江里,1,1514,2,2971,3,523,
臺北市萬華區柳鄉里,1,865,2,2012,3,321,
臺北市萬華區日善里,1,682,2,1369,3,242,
臺北市萬華區新安里,1,1546,2,1586,3,438,
臺北市萬華區忠德里,1,705,2,1629,3,254,
臺北市萬華區孝德里,1,512,2,1355,3,240,
臺北市萬華區和德里,1,1148,2,2514,3,408,
臺北市萬華區錦德里,1,969,2,2065,3,333,
臺北市萬華區全德里,1,820,2,1492,3,248,
臺北市萬華區保德里,1,668,2,1170,3,201,
臺北市萬華區銘德里,1,858,2,1758,3,270,
臺北市萬華區榮德里,1,658,2,1356,3,227,
臺北市萬華區壽德里,1,1044,2,1771,3,289,
臺北市萬華區興德里,1,838,2,1724,3,326,
臺北市萬華區華中里,1,1181,2,2297,3,337,
臺北市萬華區日祥里,1,1692,2,1361,3,365,
臺北市萬華區忠貞里,1,1635,2,1054,3,301,
臺北市萬華區凌霄里,1,1069,2,925,3,285,
臺北市萬華區騰雲里,1,860,2,833,3,215,
臺北市文山區景行里,1,1406,2,2007,3,405,
臺北市文山區景東里,1,1836,2,1592,3,461,
臺北市文山區景美里,1,1228,2,1374,3,338,
臺北市文山區景慶里,1,1508,2,1736,3,429,
臺北市文山區景仁里,1,1138,2,1207,3,338,
臺北市文山區景華里,1,1438,2,1524,3,394,
臺北市文山區萬有里,1,1372,2,1380,3,370,
臺北市文山區萬祥里,1,1122,2,1269,3,264,
臺北市文山區萬隆里,1,1908,2,1777,3,467,
臺北市文山區萬年里,1,1280,2,1543,3,332,
臺北市文山區萬和里,1,1133,2,587,3,222,
臺北市文山區萬盛里,1,1301,2,1169,3,316,
臺北市文山區興豐里,1,1328,2,1236,3,307,
臺北市文山區興光里,1,910,2,836,3,189,
臺北市文山區興家里,1,1984,2,1812,3,561,
臺北市文山區興得里,1,1600,2,1470,3,373,
臺北市文山區興業里,1,1568,2,1202,3,353,
臺北市文山區興安里,1,1867,2,1412,3,441,
臺北市文山區興福里,1,1345,2,1537,3,363,
臺北市文山區興旺里,1,2187,2,1810,3,578,
臺北市文山區興泰里,1,1069,2,1000,3,266,
臺北市文山區興昌里,1,1756,2,1485,3,483,
臺北市文山區試院里,1,1948,2,1519,3,520,
臺北市文山區華興里,1,2301,2,2132,3,610,
臺北市文山區明義里,1,1047,2,796,3,210,
臺北市文山區明興里,1,1790,2,1669,3,453,
臺北市文山區木柵里,1,2567,2,1930,3,554,
臺北市文山區木新里,1,2032,2,2566,3,521,
臺北市文山區順興里,1,1775,2,2051,3,536,
臺北市文山區樟林里,1,2226,2,1969,3,588,
臺北市文山區樟新里,1,1327,2,1396,3,357,
臺北市文山區樟腳里,1,1346,2,1547,3,349,
臺北市文山區萬芳里,1,2038,2,1848,3,573,
臺北市文山區博嘉里,1,1354,2,1479,3,353,
臺北市文山區萬興里,1,1958,2,2232,3,449,
臺北市文山區指南里,1,747,2,1114,3,281,
臺北市文山區老泉里,1,134,2,339,3,42,
臺北市文山區忠順里,1,1208,2,889,3,257,
臺北市文山區萬美里,1,1765,2,1711,3,496,
臺北市文山區政大里,1,1670,2,1719,3,415,
臺北市文山區樟文里,1,1482,2,1673,3,399,
臺北市文山區興邦里,1,1399,2,1050,3,335,
臺北市文山區樟樹里,1,1162,2,1309,3,308,
臺北市南港區南港里,1,1143,2,1789,3,362,
臺北市南港區中南里,1,673,2,1194,3,248,
臺北市南港區新富里,1,723,2,1326,3,245,
臺北市南港區三重里,1,1259,2,1776,3,431,
臺北市南港區東新里,1,1421,2,2234,3,460,
臺北市南港區新光里,1,930,2,1097,3,250,
臺北市南港區東明里,1,1051,2,1373,3,296,
臺北市南港區西新里,1,766,2,1668,3,300,
臺北市南港區玉成里,1,860,2,1683,3,343,
臺北市南港區合成里,1,1367,2,2260,3,422,
臺北市南港區成福里,1,1800,2,2155,3,582,
臺北市南港區萬福里,1,1016,2,1282,3,318,
臺北市南港區鴻福里,1,1041,2,1422,3,289,
臺北市南港區百福里,1,1081,2,1658,3,375,
臺北市南港區聯成里,1,1181,2,1493,3,335,
臺北市南港區舊莊里,1,1613,2,2813,3,606,
臺北市南港區中研里,1,1943,2,2849,3,615,
臺北市南港區九如里,1,1504,2,1687,3,438,
臺北市南港區仁福里,1,1394,2,1399,3,437,
臺北市南港區重陽里,1,1094,2,1435,3,351,
臺北市內湖區西湖里,1,1495,2,2458,3,460,
臺北市內湖區西康里,1,2218,2,2586,3,577,
臺北市內湖區西安里,1,1529,2,2017,3,446,
臺北市內湖區港墘里,1,1233,2,1874,3,380,
臺北市內湖區港都里,1,1153,2,1717,3,343,
臺北市內湖區港富里,1,1974,2,2955,3,586,
臺北市內湖區港華里,1,1872,2,2789,3,542,
臺北市內湖區內湖里,1,1283,2,1623,3,360,
臺北市內湖區湖濱里,1,2115,2,2083,3,528,
臺北市內湖區紫星里,1,1727,2,2508,3,497,
臺北市內湖區大湖里,1,1226,2,1564,3,370,
臺北市內湖區金龍里,1,1149,2,1624,3,343,
臺北市內湖區金瑞里,1,1430,2,1981,3,431,
臺北市內湖區碧山里,1,1478,2,1999,3,446,
臺北市內湖區紫雲里,1,1537,2,1407,3,409,
臺北市內湖區清白里,1,1923,2,2242,3,595,
臺北市內湖區葫洲里,1,1546,2,1808,3,443,
臺北市內湖區紫陽里,1,1828,2,2397,3,519,
臺北市內湖區瑞陽里,1,2241,2,1929,3,542,
臺北市內湖區瑞光里,1,1304,2,1183,3,338,
臺北市內湖區五分里,1,1818,2,3013,3,654,
臺北市內湖區東湖里,1,1507,2,2508,3,547,
臺北市內湖區樂康里,1,1547,2,2566,3,629,
臺北市內湖區內溝里,1,937,2,1428,3,372,
臺北市內湖區週美里,1,1414,2,2451,3,475,
臺北市內湖區行善里,1,1318,2,2180,3,439,
臺北市內湖區石潭里,1,708,2,1005,3,248,
臺北市內湖區湖興里,1,1429,2,2250,3,483,
臺北市內湖區湖元里,1,1112,2,1708,3,308,
臺北市內湖區安湖里,1,1608,2,2216,3,448,
臺北市內湖區秀湖里,1,1471,2,1716,3,373,
臺北市內湖區安泰里,1,1131,2,1506,3,417,
臺北市內湖區金湖里,1,2113,2,2410,3,571,
臺北市內湖區康寧里,1,1863,2,2275,3,618,
